PID: 7, exec_ticks: 18, current tickets: 0
PID: 7, exec_ticks: 19, current tickets: 0
PID: 7, exec_ticks: 20, current tickets: 0
PID: 7, exec_ticks: 21, current tickets: 0
PID: 7, exec_ticks: 22, current tickets: 0
PID: 7, exec_ticks: 23, current tickets: 0
PID: 7, exec_ticks: 24, current tickets: 0
PID: 7, exec_ticks: 25, current tickets: 0
PID: 7, exec_ticks: 26, current tickets: 0
PID: 7, exec_ticks: 27, current tickets: 0
PID: 7, exec_ticks: 28, current tickets: 0
PID: 7, exec_ticks: 29, current tickets: 0
PID: 7, exec_ticks: 30, current tickets: 0
PID: 7, exec_ticks: 31, current tickets: 0
PID: 7, exec_ticks: 32, current tickets: 0
PID: 7, exec_ticks: 33, current tickets: 0
PID: 7, exec_ticks: 34, current tickets: 0
PID: 7, exec_ticks: 35, current tickets: 0
PID: 7, exec_ticks: 36, current tickets: 0
PID: 7, exec_ticks: 37, current tickets: 0
PID: 7, exec_ticks: 38, current tickets: 0
PID: 7, exec_ticks: 39, current tickets: 0
PID: 7, exec_ticks: 40, current tickets: 0
PID: 7, exec_ticks: 41, current tickets: 0
PID: 7, exec_ticks: 42, current tickets: 0
PID: 7, exec_ticks: 43, current tickets: 0
PID: 7, exec_ticks: 44, current tickets: 0
PID: 7, exec_ticks: 45, current tickets: 0
PID: 7, exec_ticks: 46, current tickets: 0
PID: 7, exec_ticks: 47, current tickets: 0
PID: 7, exec_ticks: 48, current tickets: 0
PID: 7, exec_ticks: 49, current tickets: 0
PID: 6, exec_ticks: 7, current tickets: 0
PID: 6, exec_ticks: 8, current tickets: 0
PID: 6, exec_ticks: 9, current tickets: 0
PID: 6, exec_ticks: 10, current tickets: 0
PID: 6, exec_ticks: 11, current tickets: 0
PID: 6, exec_ticks: 12, current tickets: 0
PID: 7, exec_ticks: 50, current tickets: 0
PID: 7, exec_ticks: 51, current tickets: 0
PID: 7, exec_ticks: 52, current tickets: 0
PID: 7, exec_ticks: 53, current tickets: 0
PID: 7, exec_ticks: 54, current tickets: 0
PID: 7, exec_ticks: 55, current tickets: 0
PID: 7, exec_ticks: 56, current tickets: 0
PID: 7, exec_ticks: 57, current tickets: 0
PID: 7, exec_ticks: 58, current tickets: 0
PID: 7, exec_ticks: 59, current tickets: 0
PID: 7, exec_ticks: 60, current tickets: 0
PID: 7, exec_ticks: 61, current tickets: 0
PID: 7, exec_ticks: 62, current tickets: 0
PID: 7, exec_ticks: 63, current tickets: 0
PID: 7, exec_ticks: 64, current tickets: 0
PID: 7, exec_ticks: 65, current tickets: 0
PID: 7, exec_ticks: 66, current tickets: 0
PID: 7, exec_ticks: 67, current tickets: 0
PID: 7, exec_ticks: 68, current tickets: 0
PID: 7, exec_ticks: 69, current tickets: 0
PID: 7, exec_ticks: 70, current tickets: 0
PID: 7, exec_ticks: 71, current tickets: 0
PID: 7, exec_ticks: 72, current tickets: 0
PID: 7, exec_ticks: 73, current tickets: 0
PID: 7, exec_ticks: 74, current tickets: 0
PID: 7, exec_ticks: 75, current tickets: 0
PID: 7, exec_ticks: 76, current tickets: 0
PID: 7, exec_ticks: 77, current tickets: 0
PID: 7, exec_ticks: 78, current tickets: 0
PID: 7, exec_ticks: 79, current tickets: 0
PID: 7, exec_ticks: 80, current tickets: 0
PID: 7, exec_ticks: 81, current tickets: 0
PID: 7, exec_ticks: 82, current tickets: 0
PID: 7, exec_ticks: 83, current tickets: 0
PID: 7, exec_ticks: 84, current tickets: 0
PID: 7, exec_ticks: 85, current tickets: 0
PID: 7, exec_ticks: 86, current tickets: 0
PID: 7, exec_ticks: 87, current tickets: 0
PID: 7, exec_ticks: 88, current tickets: 0
PID: 4, exec_ticks: 14, current tickets: 1
PID: 4, exec_ticks: 15, current tickets: 1
PID: 4, exec_ticks: 16, current tickets: 1
PID: 4, exec_ticks: 17, current tickets: 1
PID: 4, exec_ticks: 18, current tickets: 1
PID: 4, exec_ticks: 19, current tickets: 1
PID: 5, exec_ticks: 69, current tickets: 8
PID: 5, exec_ticks: 70, current tickets: 8
PID: 5, exec_ticks: 71, current tickets: 8
PID: 5, exec_ticks: 72, current tickets: 8
PID: 5, exec_ticks: 73, current tickets: 8
PID: 5, exec_ticks: 74, current tickets: 8
PID: 6, exec_ticks: 13, current tickets: 3
PID: 6, exec_ticks: 14, current tickets: 3
PID: 6, exec_ticks: 15, current tickets: 3
PID: 6, exec_ticks: 16, current tickets: 3
PID: 6, exec_ticks: 17, current tickets: 3
PID: 6, exec_ticks: 18, current tickets: 3
PID: 5, exec_ticks: 75, current tickets: 8
PID: 5, exec_ticks: 76, current tickets: 8
PID: 5, exec_ticks: 77, current tickets: 8
PID: 5, exec_ticks: 78, current tickets: 8
PID: 5, exec_ticks: 79, current tickets: 8
PID: 5, exec_ticks: 80, current tickets: 8
PID: 5, exec_ticks: 81, current tickets: 8
PID: 5, exec_ticks: 82, current tickets: 8
PID: 5, exec_ticks: 83, current tickets: 8
PID: 5, exec_ticks: 84, current tickets: 8
PID: 5, exec_ticks: 85, current tickets: 8
PID: 5, exec_ticks: 86, current tickets: 8
PID: 5, exec_ticks: 87, current tickets: 8
PID: 5, exec_ticks: 88, current tickets: 8
PID: 5, exec_ticks: 89, current tickets: 8
PID: 5, exec_ticks: 90, current tickets: 8
PID: 5, exec_ticks: 91, current tickets: 8
PID: 5, exec_ticks: 92, current tickets: 8
PID: 5, exec_ticks: 93, current tickets: 8
PID: 5, exec_ticks: 94, current tickets: 8
PID: 5, exec_ticks: 95, current tickets: 8
PID: 5, exec_ticks: 96, current tickets: 8
PID: 5, exec_ticks: 97, current tickets: 8
PID: 5, exec_ticks: 98, current tickets: 8
PID: 5, exec_ticks: 99, current tickets: 8
PID: 5, exec_ticks: 100, current tickets: 8
PID: 5, exec_ticks: 101, current tickets: 8
PID: 5, exec_ticks: 102, current tickets: 8
PID: 5, exec_ticks: 103, current tickets: 8
PID: 5, exec_ticks: 104, current tickets: 8
PID: 5, exec_ticks: 105, current tickets: 8
PID: 5, exec_ticks: 106, current tickets: 8
PID: 5, exec_ticks: 107, current tickets: 8
PID: 5, exec_ticks: 108, current tickets: 8
PID: 5, exec_ticks: 109, current tickets: 8
PID: 5, exec_ticks: 110, current tickets: 8
PID: 5, exec_ticks: 111, current tickets: 8
PID: 5, exec_ticks: 112, current tickets: 8
PID: 5, exec_ticks: 113, current tickets: 8
PID: 4, exec_ticks: 20, current tickets: 1
PID: 4, exec_ticks: 21, current tickets: 1
PID: 4, exec_ticks: 22, current tickets: 1
PID: 4, exec_ticks: 23, current tickets: 1
PID: 4, exec_ticks: 24, current tickets: 1
PID: 4, exec_ticks: 25, current tickets: 1
PID: 5, exec_ticks: 114, current tickets: 8
PID: 5, exec_ticks: 115, current tickets: 8
PID: 5, exec_ticks: 116, current tickets: 8
PID: 5, exec_ticks: 117, current tickets: 8
PID: 5, exec_ticks: 118, current tickets: 8
PID: 5, exec_ticks: 119, current tickets: 8
PID: 6, exec_ticks: 19, current tickets: 3
PID: 6, exec_ticks: 20, current tickets: 3
PID: 6, exec_ticks: 21, current tickets: 3
PID: 6, exec_ticks: 22, current tickets: 3
PID: 6, exec_ticks: 23, current tickets: 3
PID: 6, exec_ticks: 24, current tickets: 3
PID: 5, exec_ticks: 120, current tickets: 8
PID: 5, exec_ticks: 121, current tickets: 8
PID: 5, exec_ticks: 122, current tickets: 8
PID: 5, exec_ticks: 123, current tickets: 8
PID: 5, exec_ticks: 124, current tickets: 8
PID: 5, exec_ticks: 125, current tickets: 8
PID: 5, exec_ticks: 126, current tickets: 8
